1173.228	0.33	0.034481879
1332.492	0.28	0.029732137
		
79.61420	8.18	0.824089801
80.89500	8.34	0.834539394
276.3989	1.96	0.198282627
302.8508	1.68	0.169186288
356.0129	1.36	0.136367151
383.8485	1.39	0.140431478
		
121.7817	7.64	0.764588778
244.6974	2.65	0.266692707
344.2785	1.73	0.173288776
411.1165	1.15	0.121757957
443.9606	1.06	0.110163515
778.9045	0.52	0.052952809
867.3800	0.37	0.038327536
964.0570	0.36	0.037363083
1085.000	0.35	0.036400549
1112.076	0.30	0.031622777
1212.948	0.23	0.030479501
1299.142	0.33	0.038587563
1408.013	0.23	0.025079872
		
661.7000	0.76	0.076
32.06000	6.98	0.699788539
